MAXTHREADS,Time (In Nanoseconds)
1,10168758
2,5574922
3,4188432
4,3837977
5,3363847
6,3353088
7,3355800
8,3014160
9,5047822
10,4509759
11,4025275
12,4158815
13,4540957
14,4151363
15,3573378
16,4508105
17,9923871
18,3684674
19,5582325
20,7022808
21,7161117
22,7362521
23,5644667
24,7988930
25,6765208
26,9025473
27,7995673
28,7385365
29,6598405
30,8548602
31,8066813
32,7399060
33,6530806
34,7939094
35,10656823
36,4977450
37,11017931
38,10369822
39,11638875
40,9312596
41,9255595
42,7126833
43,10202980
44,6341823
45,8547442
46,8897320
47,7458868
48,9885138
49,9447599
50,14276752
51,13091483
52,8651652
53,6544301
54,7581952
55,9766373
56,4662383
57,14187111
58,14197442
59,7202618
60,8771698
61,5414428
62,5599990
63,7557366
64,7360050
65,11276962
66,7824412
67,4889319
68,13314775
69,4491316
70,5106069
71,10718800
72,9343584
73,24208882
74,6878703
75,7514089
76,8895601
77,7061881
78,6231646
79,5033017
80,9048668
81,6931359
82,7888393
83,4421890
84,9362656
85,6969612
86,6980503
87,9486243
88,7545067
89,6493560
90,8817278
91,6105766
92,6470187
93,10386546
94,9189076
95,7874268
96,8040431
97,8331297
98,6773792
99,7186058
100,8591445
101,7422585
102,8885769
103,7083785
104,13736731
105,9820197
106,7490150
107,8805438
108,6955017
109,7201127
110,7206949
111,8051433
112,6755737
113,9699051
114,13862375
115,6100294
116,16683381
117,8955188
118,8764212
119,6141475
120,6258996
121,5451190
122,6357041
123,9498331
124,7230813
125,9122636
126,6239516
127,10644465
128,9035073
129,5530041
130,10363316
131,9716244
132,7830332
133,6633514
134,5246137
135,5803156
136,7436852
137,8213539
138,6132104
139,6052108
140,7025970
141,7270384
142,8501502
143,8810711
144,6505232
145,6571080
146,6493235
147,5480876
148,6567568
149,6184820
150,7435789
151,6687352
152,9818585
153,9435923
154,9655615
155,14097222
156,6564410
157,9965093
158,8114003
159,5394893
160,8978426
161,6220280
162,8291325
163,11190026
164,6049411
165,10334508
166,7984913
167,9283296
168,9359072
169,10220664
170,7662279
171,7727678
172,8191590
173,11246752
174,14414945
175,7924901
176,13134181
177,12606401
178,6644842
179,7481152
180,9392094
181,7245652
182,11050902
183,6914052
184,9276330
185,9665696
186,11073841
187,8179479
188,8732322
189,7324342
190,8580978
191,10030420
192,7950237
193,9319200
194,8192212
195,7482614
196,6701982
197,9723151
198,7673807
199,6335862
200,8415786
201,11307816
202,6314359
203,9565550
204,7498210
205,8402861
206,9696033
207,11680612
208,6910870
209,7217372
210,7422010
211,7169319
212,7976574
213,6279147
214,8462911
215,7890011
216,8259843
217,7409540
218,7904991
219,6267413
220,7296908
221,7519458
222,9239919
223,6918148
224,8743189
225,13148164
226,8297010
227,7966259
228,8787965
229,7332143
230,7712564
231,6846622
232,7072810
233,8358300
234,9053002
235,9402476
236,10927800
237,10058735
238,8041646
239,8948917
240,7466205
241,12712188
242,10481005
243,6857003
244,9799173
245,7920911
246,8852544
247,10537177
248,8616931
249,8801955
250,7960749
251,7832531
252,7338842
253,10461997
254,8003813
255,9948966
256,9056116
257,9467588
258,11848276
259,7729989
260,8521373
261,9198767
262,11623466
263,9211726
264,9322812
265,7658372
266,9398455
267,12658311
268,11833753
269,11140574
270,8414328
271,15096040
272,9235271
273,8306195
274,10055440
275,10678096
276,9865142
277,8685881
278,7907825
279,9640049
280,10780896
281,8265107
282,9734923
283,12692211
284,8681298
285,8233114
286,9382773
287,11167526
288,9805483
289,9070059
290,8417163
291,9931923
292,9666271
293,7770450
294,11515784
295,9209512
296,8733823
297,15193764
298,9157405
299,9508505
300,9611214
301,10179780
302,9060837
303,8808613
304,8540808
305,11090174
306,9414647
307,8395223
308,11666706
309,12841325
310,9599194
311,9953262
312,9864887
313,8974672
314,11143630
315,9846988
316,9816361
317,10285756
318,8623023
319,10449340
320,11088162
321,10858979
322,11557328
323,10721217
324,16630051
325,12861955
326,13325136
327,11464161
328,8826638
329,17314152
330,8709507
331,13090406
332,10758480
333,10583251
334,11674711
335,13911970
336,9145235
337,11864771
338,18067614
339,10800313
340,9493861
341,10481222
342,10855611
343,9056343
344,12574883
345,10556062
346,12256657
347,10023091
348,9700742
349,10906629
350,11413936
351,12584696
352,9807584
353,17646175
354,12231493
355,10882363
356,14034852
357,18262657
358,10361623
359,9907084
360,14712365
361,10359698
362,18141349
363,11175676
364,11901884
365,10896461
366,11811635
367,13166370
368,10958643
369,11208514
370,12558992
371,9670132
372,13213222
373,13242522
374,10585237
375,10821345
376,9956313
377,9618688
378,11893287
379,13430045
380,11354898
381,13032899
382,15765843
383,12527234
384,9349396
385,10527949
386,15543517
387,11190085
388,11012869
389,13502143
390,9877268
391,10142484
392,10357776
393,10752885
394,12109980
395,11465489
396,11424018
397,13935130
398,11588732
399,10724480
400,10228304
401,11889484
402,10135355
403,11917768
404,11681327
405,13705123
406,10345179
407,11845165
408,10900582
409,13252419
410,11695024
411,15333604
412,13431878
413,11672743
414,13404362
415,13392821
416,12027149
417,11610280
418,10523652
419,16235239
420,11234371
421,11450430
422,12393052
423,11958783
424,13065415
425,11643147
426,13057415
427,11428568
428,11486085
429,13554867
430,12574413
431,11731802
432,21228184
433,10991961
434,11981625
435,12423138
436,13127565
437,12248142
438,11270662
439,15258917
440,12720977
441,14489124
442,11911530
443,12457989
444,13275253
445,13342470
446,13943054
447,11899236
448,13361803
449,13513320
450,11325716
451,17273305
452,12719265
453,13563868
454,13554235
455,11079942
456,11991510
457,13335184
458,11447929
459,16999011
460,13163928
461,15393213
462,14716744
463,11784800
464,14063865
465,13392319
466,11708692
467,13698416
468,12107313
469,14166001
470,12574240
471,15235689
472,12375416
473,13523814
474,13431544
475,13750449
476,12234092
477,14107936
478,12604199
479,12095716
480,13960681
481,16452292
482,12340173
483,13825474
484,12926158
485,13514914
486,18221898
487,13786149
488,15369590
489,11787485
490,14273837
491,14645134
492,12508240
493,12605871
494,15166928
495,17363056
496,14787082
497,15207050
498,14366081
499,14801320
500,13641538
501,13961433
502,13658746
503,14642414
504,13118570
505,13394719
1,130408
