Number of Threads,Time in Nanoseconds
1, 458623
2, 482593
3, 508992
4, 444239
5, 502158
6, 481165
7, 730659
8, 533991
9, 525890
10, 910038
11, 832473
12, 619623
13, 696607
14, 764152
15, 710342
16, 1059254
17, 1130568
18, 1107931
19, 1120920
20, 1874790
21, 1371185
22, 1124033
23, 970028
24, 1060302
25, 976578
26, 1080992
27, 1133681
28, 982819
29, 939679
30, 1452454
31, 1362166
32, 1210023
33, 1323151
34, 1033880
35, 1380533
36, 1217719
37, 3950320
38, 1193766
39, 5015307
40, 4129095
41, 1635411
42, 1348674
43, 1166014
44, 1320510
45, 1863047
46, 2135132
47, 1204738
48, 1154222
49, 1282052
50, 1898608
51, 1471808
52, 1374689
53, 1234886
54, 1920724
55, 1910903
56, 1694549
57, 1547151
58, 2014888
59, 1812265
60, 1709298
1, 851004
2, 721225
3, 748000
4, 625917
5, 1526713
6, 787606
7, 893796
8, 2438316
9, 1215325
10, 11892820
11, 1451066
12, 1126003
13, 1264612
14, 935540
15, 997465
16, 1587643
17, 1362746
18, 1027751
19, 1091261
20, 1556219
21, 1524704
22, 2888610
23, 1148081
24, 1547574
25, 1263037
26, 1758360
27, 1118988
28, 1183321
29, 1917708
30, 1300701
31, 1309530
32, 1462423
33, 1973311
34, 1421481
35, 1411611
36, 1258955
37, 1833560
38, 2272435
39, 1391461
40, 1609364
1, 438405
2, 460050
3, 491052
4, 424109
5, 467993
6, 475380
7, 499194
8, 512478
9, 491860
10, 571746
11, 474687
12, 511540
13, 585820
14, 497032
15, 512050
16, 533371
17, 551235
18, 549013
19, 531941
20, 575657
21, 583476
22, 531232
23, 575522
24, 656309
25, 604600
26, 606746
27, 672938
28, 668660
29, 612905
30, 752350
31, 646739
32, 667421
33, 675396
34, 696761
35, 699277
36, 693885
37, 705918
38, 656968
39, 732899
40, 819903
41, 702882
42, 767577
43, 726802
44, 712116
45, 740192
46, 738868
47, 701858
48, 758296
49, 726122
50, 960219
51, 791671
52, 791249
53, 833864
54, 876660
55, 861737
56, 850880
57, 807159
58, 857193
59, 1008888
60, 918494
